"HiPay API configuration","HiPay API configuration"
"Api username","Api username"
"Api password","Api password"
"Api username test","Api username test"
"Api password test","Api password test"
"Hipay Credit Card","Hipay Credit Card"
"Enabled","Enabled"
"Title","Title"
"Payment Action","Payment Action"
"Notification from Hipay:","Notification from Hipay:"
"status","status"
"Order %s by %s","Order %s by %s"
"amount: %s","amount: %s"
"failed","failed"
"successful","successful"
"Credit Card: xxxx-%s","Credit Card: xxxx-%s"
"Hipay Transaction ID %s","Hipay Transaction ID %s"
"Payment authorization error."Payment authorization error."
"Payment capturing error.","Payment capturing error."
"Payment accepted by Hipay.","Payment accepted by Hipay."
"Waiting for capture transaction ID '%s' of amount %s","Waiting for capture transaction ID '%s' of amount %s"
"Reason","Reason"
"Code Credit Card Type Hipay not found!","Code Credit Card Type Hipay not found!"
"Authorization","Authorization"
"Sale","Sale"
"basic","basic"
"basic2","basic2"
"Order canceled automatically by cron because order is pending since %d minutes","Order canceled automatically by cron because order is pending since %d minutes"
"--Please Select--","--Please Select--"
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Credit Card Types"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Record your card data for a next buy.","Record your card data for a next buy."
"Use my recorded card","Use my recorded card"
"Record new card data","Record new card data"
"Not use record card data","Not use record card data"
"You will be redirect to payment page after submit order.","You will be redirect to payment page after submit order."
"Hipay Credit Card","Hipay Credit Card"
"Enabled","Enabled"
"Title","Title"
"Order status when payment accepted","Order status when payment accepted"
"Order status when payment refused","Order status when payment refused"
"Order status when payment canceled by customer","Order status when payment canceled by customer"
"Payment Action","Payment Action"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Use 3D Secure","Enable 3D Secure"
"Use Oneclick","Use Oneclick"
"Use recurring profile","Use recurring profile"
"Create invoice when payment accepted","Create invoice when payment accepted"
"Add product to cart","Add product to cart"
"Fill cart when payment canceled or refused","Fill cart when payment canceled or refused"
"Cancel pending order","Cancel pending order"
"Cancel orders stayed in pending because customer not validated payment","Cancel orders stayed in pending because customer not validated payment"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort order","Sort order"
"Enable debug log","Enable debug log"
"Enable test mode","Enable test mode"
"Css Url","Css Url"
"Important, HTTPS protocol is required","Important, HTTPS protocol is required"
"Page payment template","Page payment template"
"Display card selector","Display card selector"
"What is this?","What is this?"
"Hipay Hosted","Hipay Hosted"
"You will be debit of amount %s only after submit order.","You will be debit of amount %s only after submit order."
"Pending Capture","Pending Capture"
"Capture Requested","Capture Requested"
"Refund Requested","Refund Requested"
"Capture Requested by Hipay.","Capture Requested by Hipay."
"Payment accepted by Hipay.","Payment accepted by Hipay."
"Refund Requested by Hipay.","Refund Requested by Hipay."
"Refund accepted by Hipay.","Refund accepted by Hipay."
"Your payment is in pending.","Your payment is in pending."
"Order #","Order #"
"Pending page","Pending page"
"Success page","Success page"
"Failure page","Failure page"
"Redirect page pending status","Redirect page pending status"
"Page to redirect when transaction is in pending status","Page to redirect when transaction is in pending status"
"Record your card data for recurring.","Record your card data for recurring."
"Hipay status to validate order","Hipay status to validate order"
"Display hosted page in Iframe","Display hosted page in Iframe"
"Configure Rules to activate 3D Secure","Configure Rules to activate 3D Secure"
"Rules 3D Secure","Rules 3D Secure"
"Enable for all transactions","Enable for all transactions"
"Enable for configured 3ds rules","Enable for configured 3ds rules",
"Disabled","Disabled"
"Order Attribute","Order Attribute"
"Customer Attribute","Customer Attribute"
"Order's time","Order's time"
"Billing Postcode","Billing Postcode"
"Billing Region","Billing Region"
"Billing State/Province","Billing State/Province"
"Billing Country","Billing Country"
"Midnight - 8:00 a.m.","Midnight - 8:00 a.m."
"8:00 a.m. - 3:00 p.m.","8:00 a.m. - 3:00 p.m."
"3:00 pm. - 8:00 p.m.","3:00 pm. - 8:00 p.m."
"8:00 p.m. - 11:59 p.m.","8:00 p.m. - 11:59 p.m."
"Orders count","Orders count"
"Customer is guest","Customer is guest"
"Billing and shipping addresses are differents","Billing and shipping addresses are differents"


"Sort the list by drag'n/drop credit card type","Sort the list by drag'n/drop credit card type"
